Surface,Figma style,Token role,Family,Weight,Italic/Style,Width,Size policy,Line height,Tracking
UI,Ui / Data,ui.data,eyebrow,500,0,87.5,"clamp(.8125rem, .794rem + .055vi, .875rem)",1.25,.006em
UI,Ui / Code,ui.code,eyebrow,400,0,87.5,"clamp(.8125rem, .794rem + .055vi, .875rem)",1.45,0em
Social,Social / Display,social.display,head,600,0,,"min(10.2cqi, 8.2cqb)",0.88,-0.043em
Social,Social / Headline,social.headline,head,500,0,,"min(7.4cqi, 6.5cqb)",0.94,-0.031em
Social,Social / Subhead,social.subhead,bodyAlt,400,normal,,"min(3.4cqi, 2.9cqb)",1.2,-0.012em
Social,Social / Body,social.body,body,400,normal,,"min(2.32cqi, 1.95cqb)",1.38,0em
Social,Social / Quote,social.quote,head,500,1,,"min(7.9cqi, 6.35cqb)",0.98,-0.027em
Social,Social / Metric,social.metric,body,700,normal,,"min(13.5cqi, 10.5cqb)",0.82,-0.052em
Social,Social / Label,social.label,body,600,normal,,"min(1.75cqi, 1.45cqb)",1.15,.012em
Social,Social / Metadata,social.metadata,eyebrow,500,0,87.5,"min(1.38cqi, 1.12cqb)",1.2,.055em
Social,Social / Credit,social.credit,body,600,normal,,"min(1.72cqi, 1.4cqb)",1.2,0em
YouTube,Youtube / Title,youtube.title,head,700,0,,"min(10.4cqi, 14.3cqb)",0.86,-0.045em
YouTube,Youtube / Titlecompact,youtube.titleCompact,head,600,0,,"min(7.8cqi, 10.8cqb)",0.91,-0.036em
YouTube,Youtube / Kicker,youtube.kicker,eyebrow,700,0,87.5,"min(1.8cqi, 2.5cqb)",1.0,.07em
YouTube,Youtube / Support,youtube.support,bodyAlt,600,normal,,"min(2.9cqi, 4cqb)",1.1,-0.012em
YouTube,Youtube / Badge,youtube.badge,body,700,normal,,"min(1.9cqi, 2.65cqb)",1.0,.006em
YouTube,Youtube / Credit,youtube.credit,body,600,normal,,"min(1.45cqi, 2cqb)",1.1,0em
YouTube,Youtube / Arrow,youtube.arrow,head,700,0,,"min(7.2cqi, 10cqb)",0.8,0em
